model,k,param,train,cv
SVM,25,"C=30, ker=poly",0.923,0.561
SVM,25,"C=30, ker=rbf",0.974,0.818
SVM,25,"C=30, ker=sigmoid",0.795,0.718
SVM,25,"C=100, ker=linear",0.974,0.736
SVM,25,"C=100, ker=poly",1.0,0.586
SVM,25,"C=100, ker=rbf",1.0,0.768
SVM,25,"C=100, ker=sigmoid",0.795,0.693
LogReg,30,-,0.897,0.743
MLP,30,"h=10, act=logistic",1.0,0.739
MLP,30,"h=10, act=tanh",1.0,0.764
MLP,30,"h=10, act=relu",1.0,0.736
MLP,30,"h=5, act=logistic",0.974,0.711
MLP,30,"h=5, act=tanh",1.0,0.736
MLP,30,"h=5, act=relu",0.974,0.711
MLP,30,"h=3, act=logistic",0.974,0.793
MLP,30,"h=3, act=tanh",0.974,0.764
MLP,30,"h=3, act=relu",0.923,0.736
SVM,30,"C=0.01, ker=linear",0.718,0.618
SVM,30,"C=0.01, ker=poly",0.667,0.668
SVM,30,"C=0.01, ker=rbf",0.667,0.668
SVM,30,"C=0.01, ker=sigmoid",0.667,0.668
SVM,30,"C=0.03, ker=linear",0.744,0.696
SVM,30,"C=0.03, ker=poly",0.667,0.668
SVM,30,"C=0.03, ker=rbf",0.667,0.668
SVM,30,"C=0.03, ker=sigmoid",0.667,0.668
SVM,30,"C=0.1, ker=linear",0.821,0.746
SVM,30,"C=0.1, ker=poly",0.667,0.643
SVM,30,"C=0.1, ker=rbf",0.667,0.668
SVM,30,"C=0.1, ker=sigmoid",0.667,0.668
SVM,30,"C=0.3, ker=linear",0.821,0.714
SVM,30,"C=0.3, ker=poly",0.718,0.643
SVM,30,"C=0.3, ker=rbf",0.667,0.643
SVM,30,"C=0.3, ker=sigmoid",0.667,0.618
SVM,30,"C=1, ker=linear",0.897,0.743
SVM,30,"C=1, ker=poly",0.744,0.639
SVM,30,"C=1, ker=rbf",0.872,0.721
SVM,30,"C=1, ker=sigmoid",0.795,0.75
SVM,30,"C=3, ker=linear",0.974,0.736
SVM,30,"C=3, ker=poly",0.795,0.589
SVM,30,"C=3, ker=rbf",0.923,0.821
SVM,30,"C=3, ker=sigmoid",0.821,0.718
SVM,30,"C=10, ker=linear",0.974,0.736
SVM,30,"C=10, ker=poly",0.821,0.589
SVM,30,"C=10, ker=rbf",1.0,0.793
SVM,30,"C=10, ker=sigmoid",0.769,0.743
SVM,30,"C=30, ker=linear",0.974,0.736
SVM,30,"C=30, ker=poly",0.949,0.564
SVM,30,"C=30, ker=rbf",0.974,0.764
SVM,30,"C=30, ker=sigmoid",0.795,0.743
SVM,30,"C=100, ker=linear",0.974,0.686
SVM,30,"C=100, ker=poly",1.0,0.589
SVM,30,"C=100, ker=rbf",1.0,0.714
