model,k,param,train,cv
XGB,14,"d=15,lr=0.05",0.949,0.768
XGB,14,"d=15,lr=0.1",0.974,0.743
XGB,14,"d=17,lr=0.05",0.949,0.768
XGB,14,"d=17,lr=0.1",0.974,0.743
CatBoost,14,"d=1,lr=0.05",0.872,0.746
CatBoost,14,"d=1,lr=0.1",0.923,0.721
CatBoost,14,"d=15,lr=0.05",1.0,0.793
CatBoost,14,"d=15,lr=0.1",1.0,0.768
LogReg,15,-,0.897,0.793
MLP,15,"h=4,relu",0.974,0.718
MLP,15,"h=4,logistic",0.897,0.768
MLP,15,"h=15,relu",1.0,0.739
MLP,15,"h=15,logistic",1.0,0.768
SVM,15,"C=0.1,linear",0.795,0.8
SVM,15,"C=0.1,rbf",0.667,0.668
SVM,15,"C=1,linear",0.872,0.689
SVM,15,"C=1,rbf",0.872,0.771
SVM,15,"C=10,linear",0.923,0.711
SVM,15,"C=10,rbf",0.974,0.796
DT,15,d=3,0.974,0.643
DT,15,d=5,1.0,0.618
DT,15,d=None,1.0,0.643
RF,15,"n=16,d=3",0.923,0.696
RF,15,"n=16,d=5",1.0,0.771
RF,15,"n=16,d=None",1.0,0.771
XGB,15,"d=15,lr=0.05",0.923,0.768
XGB,15,"d=15,lr=0.1",0.974,0.768
XGB,15,"d=17,lr=0.05",0.923,0.768
XGB,15,"d=17,lr=0.1",0.974,0.768
CatBoost,15,"d=1,lr=0.05",0.872,0.746
CatBoost,15,"d=1,lr=0.1",0.923,0.746
CatBoost,15,"d=15,lr=0.05",1.0,0.768
CatBoost,15,"d=15,lr=0.1",1.0,0.743
LogReg,16,-,0.897,0.821
MLP,16,"h=4,relu",0.949,0.793
MLP,16,"h=4,logistic",0.897,0.768
MLP,16,"h=15,relu",1.0,0.768
MLP,16,"h=15,logistic",1.0,0.768
SVM,16,"C=0.1,linear",0.795,0.8
SVM,16,"C=0.1,rbf",0.667,0.668
SVM,16,"C=1,linear",0.872,0.689
SVM,16,"C=1,rbf",0.872,0.746
SVM,16,"C=10,linear",0.923,0.711
SVM,16,"C=10,rbf",0.974,0.796
DT,16,d=3,0.974,0.696
DT,16,d=5,1.0,0.721
DT,16,d=None,1.0,0.746
RF,16,"n=16,d=3",0.923,0.668
RF,16,"n=16,d=5",1.0,0.693
RF,16,"n=16,d=None",1.0,0.693
XGB,16,"d=15,lr=0.05",0.923,0.768
XGB,16,"d=15,lr=0.1",0.974,0.768
XGB,16,"d=17,lr=0.05",0.923,0.768
XGB,16,"d=17,lr=0.1",0.974,0.768
CatBoost,16,"d=1,lr=0.05",0.846,0.746
CatBoost,16,"d=1,lr=0.1",0.949,0.721
CatBoost,16,"d=15,lr=0.05",1.0,0.768
CatBoost,16,"d=15,lr=0.1",1.0,0.743
LogReg,17,-,0.897,0.793
MLP,17,"h=4,relu",0.923,0.796
MLP,17,"h=4,logistic",0.846,0.739
MLP,17,"h=15,relu",1.0,0.764
MLP,17,"h=15,logistic",1.0,0.764
SVM,17,"C=0.1,linear",0.795,0.8
SVM,17,"C=0.1,rbf",0.667,0.668
SVM,17,"C=1,linear",0.872,0.664
SVM,17,"C=1,rbf",0.872,0.721
SVM,17,"C=10,linear",0.897,0.661
SVM,17,"C=10,rbf",0.974,0.796
DT,17,d=3,0.974,0.643
DT,17,d=5,1.0,0.693
DT,17,d=None,1.0,0.668
RF,17,"n=16,d=3",0.974,0.746
RF,17,"n=16,d=5",1.0,0.8
RF,17,"n=16,d=None",1.0,0.775
XGB,17,"d=15,lr=0.05",0.923,0.768
XGB,17,"d=15,lr=0.1",0.974,0.768
XGB,17,"d=17,lr=0.05",0.923,0.768
XGB,17,"d=17,lr=0.1",0.974,0.768
CatBoost,17,"d=1,lr=0.05",0.872,0.746
CatBoost,17,"d=1,lr=0.1",0.949,0.721
CatBoost,17,"d=15,lr=0.05",1.0,0.743
CatBoost,17,"d=15,lr=0.1",1.0,0.743
LogReg,18,-,0.872,0.793
MLP,18,"h=4,relu",1.0,0.739
MLP,18,"h=4,logistic",0.974,0.743
MLP,18,"h=15,relu",1.0,0.764
MLP,18,"h=15,logistic",1.0,0.714
SVM,18,"C=0.1,linear",0.821,0.775
SVM,18,"C=0.1,rbf",0.667,0.668
SVM,18,"C=1,linear",0.897,0.689
SVM,18,"C=1,rbf",0.872,0.746
SVM,18,"C=10,linear",0.974,0.714
SVM,18,"C=10,rbf",1.0,0.768
DT,18,d=3,0.974,0.643
DT,18,d=5,1.0,0.618
DT,18,d=None,1.0,0.593
RF,18,"n=16,d=3",0.949,0.643
RF,18,"n=16,d=5",1.0,0.693
RF,18,"n=16,d=None",1.0,0.693
XGB,18,"d=15,lr=0.05",0.923,0.825
XGB,18,"d=15,lr=0.1",0.974,0.796
XGB,18,"d=17,lr=0.05",0.923,0.825
XGB,18,"d=17,lr=0.1",0.974,0.796
CatBoost,18,"d=1,lr=0.05",0.872,0.746
CatBoost,18,"d=1,lr=0.1",0.923,0.721
CatBoost,18,"d=15,lr=0.05",1.0,0.793
CatBoost,18,"d=15,lr=0.1",1.0,0.743
LogReg,19,-,0.872,0.793
MLP,19,"h=4,relu",0.974,0.714
MLP,19,"h=4,logistic",0.974,0.743
MLP,19,"h=15,relu",1.0,0.714
MLP,19,"h=15,logistic",1.0,0.739
SVM,19,"C=0.1,linear",0.821,0.775
SVM,19,"C=0.1,rbf",0.667,0.668
SVM,19,"C=1,linear",0.897,0.689
SVM,19,"C=1,rbf",0.872,0.721
SVM,19,"C=10,linear",0.974,0.739
SVM,19,"C=10,rbf",1.0,0.768
DT,19,d=3,0.974,0.643
DT,19,d=5,1.0,0.696
DT,19,d=None,1.0,0.696
RF,19,"n=16,d=3",0.974,0.746
RF,19,"n=16,d=5",1.0,0.721
RF,19,"n=16,d=None",1.0,0.721
XGB,19,"d=15,lr=0.05",0.923,0.825
XGB,19,"d=15,lr=0.1",0.974,0.796
XGB,19,"d=17,lr=0.05",0.923,0.825
XGB,19,"d=17,lr=0.1",0.974,0.796
CatBoost,19,"d=1,lr=0.05",0.897,0.746
CatBoost,19,"d=1,lr=0.1",0.923,0.721
CatBoost,19,"d=15,lr=0.05",1.0,0.768
CatBoost,19,"d=15,lr=0.1",1.0,0.743
LogReg,20,-,0.872,0.793
MLP,20,"h=4,relu",1.0,0.739
MLP,20,"h=4,logistic",0.923,0.743
MLP,20,"h=15,relu",1.0,0.739
MLP,20,"h=15,logistic",1.0,0.764
SVM,20,"C=0.1,linear",0.821,0.775
SVM,20,"C=0.1,rbf",0.667,0.668
SVM,20,"C=1,linear",0.897,0.714
SVM,20,"C=1,rbf",0.872,0.721
SVM,20,"C=10,linear",0.974,0.768
SVM,20,"C=10,rbf",1.0,0.768
DT,20,d=3,0.974,0.664
DT,20,d=5,1.0,0.693
DT,20,d=None,1.0,0.693
RF,20,"n=16,d=3",0.923,0.668
RF,20,"n=16,d=5",1.0,0.721
RF,20,"n=16,d=None",1.0,0.721
XGB,20,"d=15,lr=0.05",0.923,0.8
XGB,20,"d=15,lr=0.1",0.974,0.796
XGB,20,"d=17,lr=0.05",0.923,0.8
XGB,20,"d=17,lr=0.1",0.974,0.796
CatBoost,20,"d=1,lr=0.05",0.923,0.721
CatBoost,20,"d=1,lr=0.1",0.974,0.743
CatBoost,20,"d=15,lr=0.05",1.0,0.768
CatBoost,20,"d=15,lr=0.1",1.0,0.793
LogReg,21,-,0.872,0.793
MLP,21,"h=4,relu",0.974,0.739
MLP,21,"h=4,logistic",0.872,0.793
MLP,21,"h=15,relu",1.0,0.764
MLP,21,"h=15,logistic",1.0,0.739
SVM,21,"C=0.1,linear",0.821,0.775
SVM,21,"C=0.1,rbf",0.667,0.668
SVM,21,"C=1,linear",0.897,0.739
SVM,21,"C=1,rbf",0.872,0.746
SVM,21,"C=10,linear",0.974,0.768
SVM,21,"C=10,rbf",1.0,0.768
DT,21,d=3,0.974,0.693
DT,21,d=5,1.0,0.693
DT,21,d=None,1.0,0.693
RF,21,"n=16,d=3",0.923,0.618
RF,21,"n=16,d=5",1.0,0.646
RF,21,"n=16,d=None",1.0,0.646
XGB,21,"d=15,lr=0.05",0.923,0.8
XGB,21,"d=15,lr=0.1",0.974,0.796
XGB,21,"d=17,lr=0.05",0.923,0.8
XGB,21,"d=17,lr=0.1",0.974,0.796
CatBoost,21,"d=1,lr=0.05",0.923,0.721
CatBoost,21,"d=1,lr=0.1",0.949,0.743
CatBoost,21,"d=15,lr=0.05",1.0,0.768
CatBoost,21,"d=15,lr=0.1",1.0,0.768
LogReg,22,-,0.897,0.793
MLP,22,"h=4,relu",0.974,0.739
